2024-05-23 09:59:40.505 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-05-23 09:59:40.517 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-05-23 14:02:58.003 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 63260 (C:\Users\wen\IdeaProjects\ticket-project\target\classes started by wen in C:\Users\wen\IdeaProjects\ticket-project)
2024-05-23 14:02:58.005 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-23 14:02:59.366 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-23 14:02:59.370 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-05-23 14:02:59.444 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-23 14:03:01.014 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.45 seconds (process running for 4.028)
2024-05-23 14:03:01.143 [http-nio-8081-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-23 14:03:01.268 [RMI TCP Connection(3)-192.168.1.3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-05-23 14:05:54.578 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-05-23 14:05:54.586 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-05-23 14:06:48.790 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 39136 (C:\Users\wen\IdeaProjects\ticket-project\target\classes started by wen in C:\Users\wen\IdeaProjects\ticket-project)
2024-05-23 14:06:48.792 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-23 14:06:49.921 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-23 14:06:49.921 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-05-23 14:06:50.000 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-23 14:06:51.610 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.222 seconds (process running for 3.772)
2024-05-23 14:06:52.585 [RMI TCP Connection(3)-192.168.1.3] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-23 14:06:52.640 [RMI TCP Connection(2)-192.168.1.3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-05-23 14:10:55.217 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-05-23 14:10:55.230 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-05-23 14:30:39.615 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 46176 (C:\Users\wen\IdeaProjects\ticket-project\target\classes started by wen in C:\Users\wen\IdeaProjects\ticket-project)
2024-05-23 14:30:39.616 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-23 14:30:40.801 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-23 14:30:40.801 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2024-05-23 14:30:40.874 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-23 14:30:42.394 [main] INFO  com.tickets.TicketsApplication - Started TicketsApplication in 3.174 seconds (process running for 3.774)
2024-05-23 14:30:42.842 [RMI TCP Connection(1)-192.168.1.3] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-23 14:30:42.879 [RMI TCP Connection(2)-192.168.1.3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-05-23 17:57:44.854 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-05-23 17:57:44.857 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-05-23 18:37:41.572 [main] INFO  com.tickets.TicketsApplication - Starting TicketsApplication using Java 21 with PID 67480 (C:\Users\wen\IdeaProjects\ticket-project\target\classes started by wen in C:\Users\wen\IdeaProjects\ticket-project)
2024-05-23 18:37:41.575 [main] INFO  com.tickets.TicketsApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-23 18:37:43.357 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-23 18:37:43.358 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
